Cell,Formula
AZ4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AB4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BA4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AC4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BB4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AD4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BC4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AE4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BD4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AF4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BE4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AG4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BF4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AH4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BG4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AI4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BH4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AP4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BI4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AK4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BJ4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AL4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BK4,"=IFERROR(IF($C4=""Top WS"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$5:$M$20,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS SF"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$33:$M$48,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""WS WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$63:$M$78,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0),
IF($C4=""SF WH"",VLOOKUP($B4,'2) หลักการคำนวน Table'!$D$93:$M$108,HLOOKUP(AM4,'2) หลักการคำนวน Table'!$D$1:$M$5,5,TRUE),0))))),0)"
BM4,"=VLOOKUP(VLOOKUP(A4,ASTBase!E:S,13,FALSE),ASTBase!F:P,11,FALSE)"
BN4,"=INDEX(AN4:AY4,,Period!$D$2)"
P5,"=SUMIFS(Actual!C:C,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
Q5,"=SUMIFS(Actual!D:D,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
R5,"=SUMIFS(Actual!E:E,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
S5,"=SUMIFS(Actual!F:F,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
T5,"=SUMIFS(Actual!G:G,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
U5,"=SUMIFS(Actual!H:H,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
V5,"=SUMIFS(Actual!I:I,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
W5,"=SUMIFS(Actual!J:J,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
X5,"=SUMIFS(Actual!K:K,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
Y5,"=SUMIFS(Actual!L:L,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
Z5,"=SUMIFS(Actual!M:M,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
AA5,"=SUMIFS(Actual!N:N,Actual!$A:$A,'3)Target & Cal'!$A5,Actual!$B:$B,'3)Target & Cal'!$B5)"
AB5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AB$2,FALSE)=""Shortage"",1,IFERROR(ROUND(P5/D5,4),0)),IFERROR(ROUND(P5/D5,4),0))"
AC5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AC$2,FALSE)=""Shortage"",1,IFERROR(ROUND(Q5/E5,4),0)),IFERROR(ROUND(Q5/E5,4),0))"
AD5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AD$2,FALSE)=""Shortage"",1,IFERROR(ROUND(R5/F5,4),0)),IFERROR(ROUND(R5/F5,4),0))"
AE5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AE$2,FALSE)=""Shortage"",1,IFERROR(ROUND(S5/G5,4),0)),IFERROR(ROUND(S5/G5,4),0))"
AF5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AF$2,FALSE)=""Shortage"",1,IFERROR(ROUND(T5/H5,4),0)),IFERROR(ROUND(T5/H5,4),0))"
AG5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AG$2,FALSE)=""Shortage"",1,IFERROR(ROUND(U5/I5,4),0)),IFERROR(ROUND(U5/I5,4),0))"
AH5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AH$2,FALSE)=""Shortage"",1,IFERROR(ROUND(V5/J5,4),0)),IFERROR(ROUND(V5/J5,4),0))"
AI5,"=IFERROR(IF(VLOOKUP($B5,Shortage!$A:$M,AI$2,FALSE)=""Shortage"",1,IFERROR(ROUND(W5/K5,4),0)),IFERROR(ROUND(W5/K5,4),0))"
